lambda,mu1,theta,c,Empirical_Optimal_Cost,Empirical_Optimal_Cost_Std,Approx_Optimal_Cost,Empirical_Optimal_Mu2,Approx_Optimal_Mu2,Empirical_Optimal_Rho,Approx_Optimal_Rho,Mismatch_cost,Rel Mismatch Cost
0.5,0.9,4,0.75,1.281631565,0.004774298,2.077789194,0.807869668,0.843993846,0.424470137,0.406302191,-0.005856643,-0.004569678
0.5,1,1.1,0.75,1.411923429,0.004850054,2.191931123,0.876765636,0.925301821,0.445106969,0.421759134,-0.004593676,-0.003253488
0.5,1,1.2,0.75,1.404446325,0.005404313,2.185055799,0.86250217,0.920503673,0.449134784,0.420834524,-0.006947982,-0.004947132
0.5,1,1.5,0.75,1.384587653,0.004905077,2.168101209,0.849682121,0.908680761,0.447596556,0.418535097,-0.005089338,-0.003675707
0.5,1,2,0.75,1.359874324,0.005159877,2.147966774,0.842696203,0.893090213,0.441412071,0.416504706,-0.006092356,-0.004480088
0.5,1,4,0.75,1.314744121,0.004947567,2.109036088,0.850768751,0.866134193,0.418490319,0.411066194,-0.006205703,-0.004720084
0.5,1.2,1.1,0.75,1.465170142,0.005459217,2.243188235,0.915889441,0.960914984,0.44946688,0.428406234,-0.004585883,-0.003129932
0.5,1.2,1.2,0.75,1.459549453,0.0059122,2.236548613,0.911486443,0.95633946,0.448620215,0.4275796,-0.003875627,-0.002655358
0.5,1.2,1.5,0.75,1.440281384,0.006149265,2.220000026,0.898861373,0.944928784,0.447302517,0.425495509,-0.007638073,-0.005303181
0.5,1.2,2,0.75,1.416399402,0.00627113,2.200008107,0.890493375,0.931141697,0.442242509,0.42293673,-0.005748223,-0.004058335
0.5,1.2,4,0.75,1.370676188,0.005422233,2.160206902,0.852940353,0.903734231,0.442604171,0.417727851,-0.004581427,-0.003342458
0.1,0.5,1.1,1,0.659061962,0.002207999,1.679351047,0.375724157,0.383714058,0.233656751,0.228791424,-0.001472043,-0.002233543
0.1,0.5,1.2,1,0.657465703,0.00231527,1.678153969,0.375012043,0.382988847,0.233379612,0.228518835,-0.001875543,-0.002852686
0.1,0.5,1.5,1,0.654030098,0.002001331,1.675297901,0.372591086,0.381258955,0.233168194,0.227867148,-0.001805433,-0.002760474
0.1,0.5,2,1,0.649512193,0.00231473,1.672086667,0.369965979,0.379314608,0.232871596,0.227132217,-0.002093741,-0.003223559
0.1,0.5,4,1,0.642204142,0.00221081,1.666433028,0.365904452,0.375893338,0.231997764,0.225832719,-0.001159211,-0.001805051
0.1,0.7,1.1,1,0.681179536,0.002584381,1.697284659,0.390119508,0.394584392,0.23549821,0.232833451,-0.001496465,-0.002196873
0.1,0.7,1.2,1,0.680185426,0.002130804,1.696244751,0.382807959,0.393954749,0.239374782,0.23260177,-0.000866166,-0.001273426
0.1,0.7,1.5,1,0.676406851,0.002432646,1.693708537,0.370941541,0.392419251,0.24547062,0.232035635,-0.001351882,-0.001998623
0.1,0.7,2,1,0.672388841,0.002254504,1.690760019,0.374405199,0.390634431,0.241404915,0.231375548,-0.001370677,-0.002038518
0.1,0.7,4,1,0.664678042,0.002287216,1.685300644,0.380740296,0.38733085,0.234131877,0.230148051,-0.001355198,-0.002038879
0.1,0.9,1.1,1,0.694653768,0.002707798,1.707256957,0.391573654,0.400621525,0.240471531,0.235040581,-0.001132003,-0.001629593
0.1,0.9,1.2,1,0.693274558,0.002554681,1.706366052,0.385020306,0.400082539,0.244031913,0.234844644,-0.000722079,-0.001041548
0.1,0.9,1.5,1,0.689768347,0.002267678,1.704153114,0.388981642,0.398743744,0.240238641,0.234357083,-0.001695257,-0.002457719
0.1,0.9,2,1,0.686654797,0.002550234,1.701506309,0.386666048,0.397142541,0.240106268,0.233772342,-0.000198712,-0.000289391
0.1,0.9,4,1,0.678873579,0.002560112,1.696381626,0.382893956,0.394042892,0.239409202,0.232635427,-0.000993637,-0.001463655
0.1,1,1.1,1,0.699328117,0.002300689,1.710684753,0.407239086,0.402694908,0.233161271,0.235792361,-0.001977277,-0.002827395
0.1,1,1.2,1,0.69782297,0.00281283,1.709860164,0.393117613,0.402196235,0.24105304,0.235611842,-0.002649517,-0.003796833
0.1,1,1.5,1,0.694558628,0.00233946,1.707795446,0.391893315,0.400947554,0.240592139,0.235159063,-0.000934831,-0.001345935
0.1,1,2,1,0.691480747,0.00235956,1.705294532,0.400187137,0.39943508,0.234168298,0.234609191,-0.00100372,-0.001451552
0.1,1,4,1,0.683994462,0.002380512,1.700352237,0.385985896,0.396446491,0.239846649,0.233518081,-0.001056669,-0.00154485
0.1,1.2,1.1,1,0.705837134,0.002496086,1.715699186,0.390480249,0.405726036,0.246134531,0.236885643,-0.001615547,-0.002288838
0.1,1.2,1.2,1,0.704926244,0.002707042,1.714990203,0.390065699,0.405297566,0.245975749,0.236731504,-0.00148504,-0.00210666
0.1,1.2,1.5,1,0.702024952,0.002506493,1.713189533,0.402689617,0.404209267,0.237231301,0.236339415,-0.00181003,-0.002578299
0.1,1.2,2,1,0.699295419,0.002506134,1.710958518,0.400587892,0.40286079,0.237190651,0.235852446,-0.001696378,-0.002425839
0.1,1.2,4,1,0.692279371,0.002414828,1.706380558,0.397081302,0.400093821,0.236631045,0.234849324,-0.000681054,-0.000983785
0.3,0.5,1.1,1,1.074395152,0.003859049,2.115593329,0.626971591,0.667489664,0.335455906,0.315093004,-0.00361622,-0.003365819
0.3,0.5,1.2,1,1.069582608,0.003645247,2.111125422,0.623034857,0.664558019,0.335311079,0.314360047,-0.002639791,-0.002468057
0.3,0.5,1.5,1,1.056766923,0.004182321,2.100498486,0.638158628,0.65759536,0.322130705,0.312609396,-0.004224454,-0.003997527
0.3,0.5,2,1,1.041424395,0.003537194,2.088588751,0.628301212,0.649809781,0.321269154,0.310635212,-0.004480044,-0.004301843
0.3,0.5,4,1,1.01693341,0.003529512,2.067658378,0.577229518,0.635061005,0.338497204,0.30767214,-0.006443159,-0.006335871
0.3,0.7,1.1,1,1.156290548,0.004423937,2.194323094,0.689970995,0.719542836,0.341756571,0.327711026,-0.004013342,-0.003470877
0.3,0.7,1.2,1,1.151576332,0.004767585,2.189828497,0.685901969,0.716601286,0.341665637,0.327028625,-0.005811742,-0.005046771
0.3,0.7,1.5,1,1.138737718,0.003470314,2.178945964,0.677820659,0.709484107,0.340566358,0.325367279,-0.00350758,-0.003080235
0.3,0.7,2,1,1.123763094,0.004103789,2.166410054,0.648226742,0.701296076,0.349917531,0.323438144,-0.004372087,-0.003890577
0.3,0.7,4,1,1.094936592,0.004031225,2.143424346,0.637747711,0.686317452,0.344219924,0.319859954,-0.00404666,-0.003695794
0.3,0.9,1.1,1,1.211188409,0.004737398,2.243519459,0.730017622,0.751739653,0.344972951,0.335004722,-0.003046558,-0.002515346
0.3,0.9,1.2,1,1.204644191,0.004618924,2.239264826,0.726047663,0.748977194,0.344957057,0.334396384,-0.003960764,-0.003287912
0.3,0.9,1.5,1,1.192960319,0.0046099,2.228799834,0.718161022,0.742181731,0.344024387,0.332890039,-0.004945927,-0.004145928
0.3,0.9,2,1,1.177576056,0.004323432,2.216445182,0.707850116,0.734160497,0.343400896,0.331094311,-0.004032863,-0.003424716
0.3,0.9,4,1,1.148066852,0.004490169,2.19288893,0.679484942,0.718881366,0.346617739,0.327622255,-0.006183584,-0.005386084
0.3,1,1.1,1,1.230126437,0.005336863,2.261567837,0.7440306,0.763444797,0.346362215,0.337554317,-0.003753894,-0.003051633
